timestamp,event,username,active_clients,messages_processed,broadcast_messages,private_messages,average_delay_ms,throughput_msg_per_sec,cpu_usage_percent,memory_usage_mb,note
2026-07-20 23:02:34,STARTUP,-,0,0,0,0,0.00,0.00,0.00,19.96,Server initialized
2026-07-20 23:03:41,AUTH_FAIL,sara,0,0,0,0,0.57,0.00,0.00,20.34,Account locked for 60 seconds
2026-07-20 23:04:03,AUTH_SUCCESS,alice,1,0,0,0,0.72,0.00,0.00,20.35,Login successful
2026-07-20 23:04:03,LIST,alice,1,0,0,0,0.56,0.00,0.00,20.43,User list refreshed
2026-07-20 23:04:57,DUPLICATE_LOGIN,alice,1,0,0,0,0.61,0.00,0.00,20.47,Duplicate login
2026-07-20 23:05:19,AUTH_SUCCESS,sara,2,0,0,0,0.70,0.00,0.00,20.48,Login successful
2026-07-20 23:05:19,LIST,sara,2,0,0,0,0.63,0.00,0.00,20.50,User list refreshed
2026-07-20 23:05:51,AUTH_SUCCESS,bob,3,0,0,0,0.66,0.00,0.00,20.54,Login successful
2026-07-20 23:05:51,LIST,bob,3,0,0,0,0.66,0.00,0.00,20.57,User list refreshed
2026-07-20 23:06:10,BROADCAST,alice,3,1,1,0,0.63,0.00,0.00,20.57,Broadcast sent
2026-07-20 23:06:18,BROADCAST,sara,3,2,2,0,0.65,0.01,0.00,20.57,Broadcast sent
2026-07-20 23:06:28,BROADCAST,bob,3,3,3,0,0.67,0.01,0.00,20.57,Broadcast sent
2026-07-20 23:06:56,AUTH_SUCCESS,charlie,4,3,3,0,0.70,0.01,0.00,20.61,Login successful
2026-07-20 23:06:56,LIST,charlie,4,3,3,0,0.70,0.01,0.00,20.64,User list refreshed
2026-07-20 23:07:17,AUTH_SUCCESS,david,5,3,3,0,0.71,0.01,0.00,20.68,Login successful
2026-07-20 23:07:17,LIST,david,5,3,3,0,0.76,0.01,0.00,20.71,User list refreshed
2026-07-20 23:09:10,TIMEOUT,alice,5,3,3,0,0.71,0.01,0.00,20.71,Inactivity timeout
2026-07-20 23:09:18,TIMEOUT,sara,4,3,3,0,0.67,0.01,0.00,20.71,Inactivity timeout
2026-07-20 23:09:28,TIMEOUT,bob,3,3,3,0,0.64,0.01,0.00,20.71,Inactivity timeout
2026-07-20 23:09:57,TIMEOUT,charlie,2,3,3,0,0.60,0.01,0.00,20.70,Inactivity timeout
2026-07-20 23:10:11,LOGOUT,david,1,3,3,0,0.60,0.01,0.00,20.70,User logged out
2026-07-20 23:29:48,STARTUP,-,0,0,0,0,0.00,0.00,0.00,19.80,Server initialized
2026-07-20 23:33:09,AUTH_SUCCESS,sara,1,0,0,0,0.75,0.00,0.00,20.11,Login successful
2026-07-20 23:33:10,LIST,sara,1,0,0,0,0.53,0.00,0.00,20.16,User list refreshed
2026-07-20 23:33:14,AUTH_SUCCESS,alice,2,0,0,0,0.62,0.00,0.00,20.20,Login successful
2026-07-20 23:33:14,LIST,alice,2,0,0,0,0.52,0.00,0.00,20.23,User list refreshed
2026-07-20 23:33:19,AUTH_SUCCESS,bob,3,0,0,0,0.57,0.00,0.00,20.27,Login successful
2026-07-20 23:33:19,LIST,bob,3,0,0,0,0.67,0.00,0.00,20.30,User list refreshed
2026-07-20 23:33:38,AUTH_SUCCESS,charlie,4,0,0,0,0.82,0.00,0.00,20.52,Login successful
2026-07-20 23:33:39,LIST,charlie,4,0,0,0,0.76,0.00,0.00,20.55,User list refreshed
2026-07-20 23:33:42,AUTH_SUCCESS,david,5,0,0,0,0.79,0.00,0.00,20.59,Login successful
2026-07-20 23:33:42,LIST,david,5,0,0,0,0.79,0.00,0.00,20.62,User list refreshed
2026-07-20 23:34:04,PRIVATE_MESSAGE,david,5,1,0,1,0.87,0.00,0.00,20.62,to sara
2026-07-20 23:34:10,BROADCAST,david,5,2,1,1,1.03,0.01,0.00,20.62,Broadcast sent
2026-07-20 23:34:12,BROADCAST,david,5,3,2,1,1.08,0.01,0.00,20.62,Broadcast sent
2026-07-20 23:34:13,BROADCAST,david,5,4,3,1,1.11,0.02,0.00,20.62,Broadcast sent
2026-07-20 23:34:13,BROADCAST,david,5,5,4,1,1.13,0.02,0.00,20.62,Broadcast sent
2026-07-20 23:34:14,BROADCAST,david,5,6,5,1,1.16,0.02,0.00,20.62,Broadcast sent
2026-07-20 23:34:14,BROADCAST,david,5,7,6,1,1.27,0.03,0.00,20.63,Broadcast sent
2026-07-20 23:34:16,BROADCAST,david,5,8,7,1,1.32,0.03,0.00,20.63,Broadcast sent
2026-07-20 23:34:16,BROADCAST,david,5,9,8,1,1.30,0.03,0.00,20.63,Broadcast sent
2026-07-20 23:34:17,BROADCAST,david,5,10,9,1,1.28,0.04,0.00,20.63,Broadcast sent
2026-07-20 23:34:17,BROADCAST,david,5,11,10,1,1.27,0.04,0.00,20.63,Broadcast sent
2026-07-20 23:34:17,BROADCAST,david,5,12,11,1,1.26,0.04,0.00,20.63,Broadcast sent
2026-07-20 23:34:18,BROADCAST,david,5,13,12,1,1.25,0.05,0.00,20.63,Broadcast sent
2026-07-20 23:34:20,BROADCAST,david,5,14,13,1,1.32,0.05,0.00,20.63,Broadcast sent
2026-07-20 23:34:29,BROADCAST,charlie,5,15,14,1,1.33,0.05,0.00,20.63,Broadcast sent
2026-07-20 23:34:30,BROADCAST,charlie,5,16,15,1,1.31,0.06,0.00,20.63,Broadcast sent
2026-07-20 23:34:31,BROADCAST,charlie,5,17,16,1,1.32,0.06,0.00,20.63,Broadcast sent
2026-07-20 23:34:31,BROADCAST,charlie,5,18,17,1,1.33,0.06,0.00,20.63,Broadcast sent
2026-07-20 23:34:31,BROADCAST,charlie,5,19,18,1,1.33,0.07,0.00,20.63,Broadcast sent
2026-07-20 23:34:31,BROADCAST,charlie,5,20,19,1,1.33,0.07,0.00,20.63,Broadcast sent
2026-07-20 23:34:32,BROADCAST,charlie,5,21,20,1,1.31,0.07,0.00,20.63,Broadcast sent
2026-07-20 23:34:32,BROADCAST,charlie,5,22,21,1,1.37,0.08,0.00,20.63,Broadcast sent
2026-07-20 23:34:32,BROADCAST,charlie,5,23,22,1,1.35,0.08,0.00,20.63,Broadcast sent
2026-07-20 23:34:32,BROADCAST,charlie,5,24,23,1,1.34,0.08,0.00,20.63,Broadcast sent
2026-07-20 23:34:32,BROADCAST,charlie,5,25,24,1,1.35,0.09,0.00,20.63,Broadcast sent
2026-07-20 23:34:46,BROADCAST,bob,5,26,25,1,1.33,0.09,0.00,20.63,Broadcast sent
2026-07-20 23:34:47,BROADCAST,bob,5,27,26,1,1.33,0.09,0.00,20.63,Broadcast sent
2026-07-20 23:34:47,BROADCAST,bob,5,28,27,1,1.34,0.09,0.00,20.63,Broadcast sent
2026-07-20 23:34:47,BROADCAST,bob,5,29,28,1,1.37,0.10,0.00,20.64,Broadcast sent
2026-07-20 23:34:47,BROADCAST,bob,5,30,29,1,1.36,0.10,0.00,20.64,Broadcast sent
2026-07-20 23:34:47,BROADCAST,bob,5,31,30,1,1.40,0.10,0.00,20.64,Broadcast sent
2026-07-20 23:34:48,BROADCAST,bob,5,32,31,1,1.39,0.11,0.00,20.64,Broadcast sent
2026-07-20 23:34:48,BROADCAST,bob,5,33,32,1,1.40,0.11,0.00,20.64,Broadcast sent
2026-07-20 23:34:49,BROADCAST,bob,5,34,33,1,1.41,0.11,0.00,20.64,Broadcast sent
