2026-07-15 19:14:15 | AUTH_SUCCESS | user=admin | ip=10.0.0.2 | detail=Login successful
2026-07-15 19:14:15 | SESSION_START | user=admin | ip=10.0.0.2 | detail=Session opened
2026-07-15 19:37:25 | AUTH_SUCCESS | user=admin | ip=10.0.0.2 | detail=Login successful
2026-07-15 19:37:25 | SESSION_START | user=admin | ip=10.0.0.2 | detail=Session opened
2026-07-15 19:37:52 | AUTH_SUCCESS | user=alice | ip=10.0.0.3 | detail=Login successful
2026-07-15 19:37:52 | SESSION_START | user=alice | ip=10.0.0.3 | detail=Session opened
2026-07-15 19:38:12 | AUTH_SUCCESS | user=bob | ip=10.0.0.4 | detail=Login successful
2026-07-15 19:38:12 | SESSION_START | user=bob | ip=10.0.0.4 | detail=Session opened
2026-07-15 19:48:41 | AUTH_SUCCESS | user=admin | ip=10.0.0.2 | detail=Login successful
2026-07-15 19:48:41 | SESSION_START | user=admin | ip=10.0.0.2 | detail=Session opened
2026-07-15 19:49:01 | AUTH_SUCCESS | user=alice | ip=10.0.0.4 | detail=Login successful
2026-07-15 19:49:01 | SESSION_START | user=alice | ip=10.0.0.4 | detail=Session opened
2026-07-15 19:51:22 | AUTH_SUCCESS | user=admin | ip=10.0.0.4 | detail=Login successful
2026-07-15 19:51:22 | SESSION_START | user=admin | ip=10.0.0.4 | detail=Session opened
2026-07-15 19:51:40 | AUTH_SUCCESS | user=alice | ip=10.0.0.3 | detail=Login successful
2026-07-15 19:51:40 | SESSION_START | user=alice | ip=10.0.0.3 | detail=Session opened
2026-07-15 20:16:14 | AUTH_SUCCESS | user=admin | ip=10.0.0.2 | detail=Login successful
2026-07-15 20:16:14 | SESSION_START | user=admin | ip=10.0.0.2 | detail=Session opened
2026-07-15 20:16:44 | AUTH_SUCCESS | user=alice | ip=10.0.0.4 | detail=Login successful
2026-07-15 20:16:44 | SESSION_START | user=alice | ip=10.0.0.4 | detail=Session opened
2026-07-15 20:18:20 | LOGOUT | user=alice | ip=10.0.0.4 | detail=User logged out
2026-07-15 20:18:22 | LOGOUT | user=admin | ip=10.0.0.2 | detail=User logged out
2026-07-15 20:23:14 | AUTH_SUCCESS | user=sara | ip=10.0.0.2 | detail=Login successful
2026-07-15 20:23:14 | SESSION_START | user=sara | ip=10.0.0.2 | detail=Session opened
2026-07-15 20:24:28 | AUTH_FAIL | user=alice | ip=10.0.0.3 | detail=Incorrect password
2026-07-15 20:24:35 | AUTH_FAIL | user=alice | ip=10.0.0.3 | detail=Incorrect password
2026-07-15 20:24:48 | AUTH_FAIL | user=alice | ip=10.0.0.3 | detail=Incorrect password
2026-07-15 20:24:50 | AUTH_FAIL | user=alice | ip=10.0.0.3 | detail=Incorrect password
